,Processor Manufacturer,Processor Series,Processor Model,RAM Type,RAM Memory,Internal Memory Type SSD,Internal Memory Type HDD,Graphics Card Manufacturer,Dedicated Graphics Memory,Graphics Card Model,manufacturer,org_price,store,Screen Type,Screen Size,Screen_resolution_width,Screen_resolution_height,predict
141,Intel,Corei9,12900H,DDR4,16,0,0,Nvidia,4,GeForceRTX3070Ti,msi,94650000,digikala,IPS,15.6,1080,1920,91995186.66666669
142,Intel,Corei3,1305U,LPDDR5,8,0,0,Intel,4,UHDGraphics,lenovo,17280000,digikala,TN,15.6,1080,1920,18488555.253392804
143,Apple,M2,8core CPU with 4 performance cores and 4 efficiency cores/10core GPU,unified memory,8,512,0,Apple,4,10 هسته ای,apple,74300000,meghdad,IPS,13.6,1600,2560,74505898.57142858
144,Intel,Corei3,I3 1115G4,DDR4,20,1024,0,Intel,4,Intel® UHD Graphics,asus,20289000,meghdad,full hd,15.6,1080,1920,19564953.611111116
145,Intel,Corei9,12900H,DDR5,32,0,0,Nvidia,4,GeForceRTX3080Ti,asus,165900000,digikala,OLED,15.6,1080,1920,107549135.95238094
146,Intel,Corei7,12700H,LPDDR5,16,0,0,Nvidia,4,GEFORCERTX3050TIGDDR6,asus,116332000,digikala,OLED,15.6,1080,1920,76843288.36079545
147,Intel,Corei3,1115G4,DDR4,4,0,0,Intel,4,UHDGraphics,lenovo,16980000,digikala,lcd,15.6,1080,1920,16614683.897137946
148,Intel,Corei5,10300H,DDR4,8,0,0,Nvidia,4,GeForceGTX1650,asus,36000000,digikala,IPS,15.6,1080,1920,40281523.118284225
149,Intel,Corei3,1115G4,DDR4,12,0,0,Intel,4,UHDGraphics,lenovo,18300000,digikala,lcd,15.6,1080,1920,18445612.871607922
150,Intel,Corei7,13620H,DDR5,16,0,0,Nvidia,4,GeForceRTX4050,lenovo,55200000,digikala,IPS,15.6,1080,1920,67636946.948489
151,Intel,Corei5,1035G1,DDR4,8,0,0,Intel,4,UHDGraphics,asus,28615000,digikala,IPS,15.6,1080,1920,33886146.94335733
152,Intel,Corei7,13620H,DDR5,32,0,0,Nvidia,4,GeForceRTX4050,lenovo,63000000,digikala,IPS,15.6,1080,1920,76084790.40860808
153,Intel,Corei3,1115G4,DDR4,8,0,0,Intel,4,UHD,acer,15990000,digikala,OLED,15.6,1080,1920,18055752.010358065
154,Intel,Corei3,1215U,DDR4,4,0,0,Intel,4,UHD,lenovo,15000000,digikala,TN,15.6,1080,1920,16415449.268710816
155,Intel,Corei7,13700H,DDR4,16,0,0,Nvidia,4,GeForceRTX4050,asus,69400000,digikala,IPS,15.6,1080,1920,56996866.30641669
156,Intel,Corei7,12650H,DDR5,16,0,0,Nvidia,4,GeForceRTX3070-8GBGDDR6,asus,63500000,digikala,IPS,15.6,1080,1920,71753805.87229852
157,Intel,Corei7,13620H,DDR5,32,0,0,Nvidia,4,GeForceRTX4060,lenovo,75900000,digikala,IPS,15.6,1080,1920,76084790.40860808
158,Intel,Corei3,1115G4,DDR4,4,0,0,Intel,4,UHDGraphics,asus,16115000,digikala,OLED,15.6,1080,1920,17807576.931020733
159,Intel,Corei7,1255U,DDR4,16,0,0,Nvidia,4,GeForceMX550,lenovo,48990000,digikala,LED Backlit,15.6,1080,1920,47367214.69552204
160,Apple,M2,M2 8 Cores,Unified,8,0,0,Apple,4,Integrated10Cores,apple,64290000,digikala,IPS,15.6,1080,1920,71749263.27705628
161,Intel,Corei3,I3 1115G4,DDR4,20,512,1024,Intel,4,Intel UHD Graphics,lenovo,19435000,meghdad,TN,15.6,1080,1920,20159145.021367524
162,Intel,Corei7,1185G7,DDR4,32,1024,0,Intel,4, Intel® Iris® Xe,microsoft,82500000,meghdad,PixelSense,13.5,2256,1504,85766217.66666667
163,Apple,M2Pro,M2 Pro,unified memory,16,1024,0,Apple,4,دارای 19 هسته پردازش گرافیکی,apple,127000000,meghdad,IPS,14.2,3024,1964,116954190.0
164,Intel,Corei3,1215U,DDR4,8,256,0,Intel,4,UHD,lenovo,17700000,meghdad,full hd,15.6,1080,1920,16825172.67286222
165,Apple,M2Pro,M2 Pro,unified memory,16,512,0,Apple,4,دارای 19 هسته پردازش گرافیکی,apple,119000000,meghdad,IPS,16.2,3456,2234,116034103.33333331
166,Intel,Corei3,I3 1115G4,DDR4,36,512,1024,Intel,4,Intel UHD Graphics,lenovo,20861000,meghdad,TN,15.6,1080,1920,31789243.910256404
167,Intel,Corei5,1155G7,DDR4,8,0,0,Nvidia,4,GeForceMX350,lenovo,25600000,digikala,TN,15.6,1080,1920,26329192.83155733
168,Intel,Corei7,13620H,DDR5,32,0,0,Nvidia,4,GeForceRTX4060,lenovo,76900000,digikala,IPS,15.6,1080,1920,76084790.40860808
169,Intel,Corei7,13620H,DDR5,16,0,0,Nvidia,4,GeForceRTX4060,lenovo,66750000,digikala,IPS,15.6,1080,1920,67636946.948489
170,Intel,Corei7,1065G7,DDR4,12,0,0,Nvidia,4,GeForceMX330,asus,35370000,digikala,lcd,15.6,1080,1920,39324919.53571429
171,Intel,Corei7,1065G7,DDR4,16,0,0,Nvidia,4,GeForceMX330,asus,31890000,digikala,lcd,15.6,1080,1920,41633519.47402598
172,Intel,Corei3,1215U,DDR4,8,0,0,Intel,4,UHDGraphics,asus,23240000,digikala,OLED,15.6,1080,1920,19725673.103181906
173,AMD,Ryzen7,4980U,DDR4,8,256,0,AMD,4,powered by AMD Ryzen™ Microsoft Surface® Edition: AMD Radeon™ Graphics,microsoft,46330000,meghdad,PixelSense,15.0,1080,1920,37561786.28571429
174,Intel,Corei3,1215U,DDR4,12,256,1024,Intel,4,UHD,lenovo,17690000,meghdad,full hd,15.6,1080,1920,17517704.7458448
175,Intel,Corei5,1135G7,DDR4,8,256,1024,Nvidia,2,NVIDIA Geforce MX450,lenovo,28550000,meghdad,full hd,15.6,1080,1920,26543781.268065266
176,Intel,Corei3,1215U,DDR4,4,0,0,Intel,4,IntegratedIntelUHDGraphics,lenovo,15400000,digikala,TN,15.6,1080,1920,16415449.268710816
177,Intel,Corei7,1165G7,DDR4,8,512,0,Nvidia,2,NVIDIA Geforce MX350,asus,33699000,meghdad,OLED,15.6,1080,1920,44657155.83378758
178,Intel,Corei3,I3 1115G4,DDR4,8,0,1024,Intel,4,Intel® UHD Graphics,acer,15300000,meghdad,full hd,15.6,1080,1920,16448772.15998621
179,Intel,Corei7,1185G7,LPDDR4X,32,0,0,Intel,4,IrisXe,microsoft,88700000,digikala,PixelSense,15.6,1080,1920,86579581.80555557
180,Intel,Corei7,1255U,DDR4,16,0,0,Nvidia,4,GeForceMX570AGDDR6LaptopGPU,hp,37490000,digikala,IPS,15.6,1080,1920,52725632.461286135
181,Intel,Corei7,1065 G7,DDR4,16,256,0,Intel,4,Intel Iris Plus Graphics,microsoft,50300000,meghdad,PixelSense,15.0,2256,1504,63600334.21428572
182,Intel,Corei7,11370H,DDR4,16,512,0,Nvidia,4,NVIDIA® GeForce RTX™3050 Ti  laptop GPU with 4GB GDDR6,microsoft,93383000,meghdad,PixelSense,14.4,1600,2560,70889824.1468254
183,Intel,Corei7,12700H,DDR5,16,0,0,Nvidia,4,GeForceRTX3060,dell,79900000,digikala,OLED,15.6,1080,1920,75126109.1279762
184,Intel,Corei7,12700H,DDR4,16,0,0,Intel,4,IrisXe,asus,40600000,digikala,OLED,15.6,1080,1920,44979698.139048815
185,Intel,Corei7,12700H,DDR5,16,0,0,Nvidia,4,GEFORCERTX3060,asus,72650000,digikala,OLED,15.6,1080,1920,73309511.5779762
186,Intel,Corei9,13980HX,DDR5,16,0,0,Nvidia,4,GeForceRTX4080,asus,175280000,digikala,IPS,15.6,1080,1920,95852493.8095238
187,Intel,Corei3,I3 1115G4,DDR4,12,128,1024,Nvidia,2,MX450,lenovo,22100000,meghdad,OLED,15.6,1080,1920,21313194.666666668
188,Intel,Corei7,1355U,LPDDR4X,16,0,0,Intel,4,IrisXe,hp,75190000,digikala,IPS,15.6,1080,1920,70847569.15624999
189,Intel,Corei9,13900H,DDR5,16,0,0,Nvidia,4,GeForceRTX4060,hp,98780000,digikala,IPS,15.6,1080,1920,104434006.66666666
190,Intel,Corei7,12700H,LPDDR5,16,0,0,Nvidia,4,GeForceRTX3050,asus,57390000,digikala,OLED,15.6,1080,1920,76843288.36079545
191,Intel,Corei5,1235U,DDR4,16,0,0,Intel,4,IrisXe,asus,28099000,digikala,lcd,15.6,1080,1920,31530228.69251532
192,Intel,Corei5,1135G7,DDR4,8,512,0,Nvidia,2,GeForce® MX330,asus,26699000,meghdad,full hd,15.6,1080,1920,28545603.5977356
193,Intel,Corei7,12700H,DDR4,16,1024,0,Nvidia,4,GeForce RTX 3050,asus,56674000,meghdad,OLED,15.6,1620,2880,62118129.87044051
194,Intel,Corei5,1235U,DDR4,8,512,0,Intel,4,Iris Xe Graphics,hp,47720000,meghdad,OLED,15.6,1080,1920,35684135.88870851
195,Intel,Corei9,13900H,DDR5,32,0,0,Nvidia,4,GeForceRTX4060,hp,109290000,digikala,IPS,15.6,1080,1920,134218816.66666666
196,Intel,Corei7,12650H,DDR4,16,0,0,Nvidia,4,GeForceRTX3060,lenovo,52999000,digikala,IPS,15.6,1080,1920,47700991.24069908
197,Intel,Corei5,1035 G1,DDR4,8,256,0,Intel,4,Intel® UHD Graphics,microsoft,29380000,meghdad,PixelSense,12.5,1080,1920,37243097.18831169
198,Intel,Corei7,1255U,DDR4,16,512,1024,Intel,4,IRIS XEUP TO 4GB,lenovo,31250000,meghdad,OLED,15.6,1080,1920,45550499.089483425
199,Intel,Corei7,13650HX,DDR5,16,0,0,Nvidia,4,GeForceRTX4060,asus,79091200,digikala,IPS,15.6,1080,1920,71753805.87229852
200,Intel,Corei3,I3 1115G4,DDR4,20,128,1024,Intel,4,Intel UHD Graphics,lenovo,18540000,meghdad,TN,15.6,1080,1920,20295084.12663068
201,Apple,M2,8core CPU with 4 performance cores and 4 efficiency cores/10core GPU,unified memory,8,512,0,Apple,4,10 هسته ای,apple,73000000,meghdad,IPS,13.6,1600,2560,74505898.57142858
202,AMD,Ryzen9,6900HX,DDR5,16,0,0,Nvidia,4,GeForceRTX3060GDDR6,asus,74440400,digikala,IPS,15.6,1080,1920,88395031.1904762
203,Intel,Corei7,1165G7,DDR4,16,512,0,Nvidia,2,NVIDIA Geforce MX350,asus,34644000,meghdad,OLED,15.6,1080,1920,42132182.1603897
204,Intel,Corei9,13980HX,DDR5,16,1024,0,Nvidia,12,GEFORCE RTX 4080,asus,170200000,meghdad,IPS,18.0,1600,2560,99694976.66666666
205,Intel,Corei5,12500H,DDR4,16,512,0,Nvidia,4,GeForce RTX3050,asus,46324000,meghdad,IPS,15.6,1080,1920,42612395.23199353
206,Intel,Corei5,1135G7,DDR4,16,512,0,Nvidia,2,GeForce® MX330,asus,27774000,meghdad,full hd,15.6,1080,1920,29428291.736263737
207,Intel,Corei5,1135G7,DDR4,8,512,0,Nvidia,2,NVIDIA Geforce MX330,asus,26889000,meghdad,full hd,15.6,1080,1920,28545603.5977356
208,Intel,Corei3,I3 1115G4,DDR4,20,1024,0,Intel,4,UHD,lenovo,18350000,meghdad,full hd,15.6,1080,1920,19427037.27777778
209,Apple,M1Pro,M1 Pro with 8 core CPU,unified memory,16,512,0,Apple,4,14core GPU16core Neural Engine200GB/s memory bandwidth,apple,105000000,meghdad,Liquid Retina,14.2,3024,1964,105411886.66666669
210,Intel,Corei7,11370H,DDR4,16,0,0,Nvidia,4,GeForceGTX1650,lenovo,42990000,digikala,IPS,15.6,1080,1920,47700991.24069908
211,Intel,Corei5,1135G7,DDR4,16,256,0,Nvidia,2,NVIDIA GeForce MX350,lenovo,24330000,meghdad,full hd,15.6,1080,1920,28614896.642857138
212,Intel,Corei3,1115G4,DDR4,4,0,0,Intel,4,UHDGraphics,asus,17820000,digikala,lcd,15.6,1080,1920,16791743.8495189
213,Intel,Corei3,I3 1115G4,DDR4,20,512,0,Intel,4,Intel® UHD Graphics,asus,18574000,meghdad,full hd,15.6,1080,1920,19412915.611111112
214,Intel,Corei7,12700H,DDR4,16,0,0,Nvidia,4,GeForceRTX4060GDDR6,asus,74900000,digikala,IPS,15.6,1080,1920,56996866.30641669
215,Intel,Corei5,1135G7,DDR4,12,512,0,Nvidia,2,GeForce® MX330,asus,27233000,meghdad,full hd,15.6,1080,1920,28179961.692973696
216,Intel,Corei5,1135G7,DDR4,8,0,0,Intel,4,IntelIrisXeGraphics,huawie,34990000,digikala,lcd,15.6,1080,1920,33276634.214285716
217,AMD,Ryzen7,4800H,DDR4,16,0,0,Nvidia,4,GeForceRTX3050Ti,asus,59900000,digikala,IPS,15.6,1080,1920,52658017.885889314
218,Intel,Corei3,I3 1115G4,DDR4,8,0,1024,Intel,4,Intel UHD Graphics,lenovo,16470000,meghdad,OLED,15.6,1080,1920,18168385.919448968
219,Intel,Corei5,11300H,DDR4,32,256,1024,Nvidia,4,NVIDIA Geforce GTX 1650,lenovo,38000000,meghdad,IPS,15.6,1080,1920,43954803.2068825
220,Intel,Corei5,1135G7,DDR4,8,512,0,Nvidia,2,GeForce® MX330,asus,26514000,meghdad,full hd,15.6,1080,1920,28545603.5977356
221,Intel,Corei7,13700H,DDR4,16,0,0,Intel,4,UHDGraphics,asus,48000000,digikala,IPS,15.6,1080,1920,40123102.31148748
222,Intel,Corei3,10110U,DDR4,8,0,0,Intel,4,UHDGraphics,asus,18400000,digikala,lcd,15.6,1080,1920,18146274.848297898
223,Intel,Corei7,1165G7,DDR4,12,0,0,Nvidia,4,GeForceMX450,lenovo,31050000,digikala,TN,15.6,1080,1920,35355435.958180696
224,Intel,Corei3,I3 1115G4,DDR4,8,128,1024,Nvidia,2,MX350,acer,19100000,meghdad,full hd,15.6,1080,1920,19852395.833333336
225,Intel,Corei5,1135G7,DDR4,12,0,0,Nvidia,4,GeForceMX330,asus,27395000,digikala,OLED,15.6,1080,1920,34848769.13355069
226,Intel,Corei5,12500H,DDR4,8,0,0,Intel,4,IRISXE,asus,42900000,digikala,OLED,15.6,1080,1920,31325253.66155069
227,Intel,Corei5,1035G7,DDR4,8,256,0,Intel,4,Intel® Iris™ Plus Graphics,microsoft,45000000,meghdad,PixelSense,13.5,2000,3000,50191202.974025965
228,Intel,Corei3,I3 1115G4,DDR4,12,1024,0,Intel,4,Intel® UHD Graphics,asus,19289000,meghdad,full hd,15.6,1080,1920,18176259.337162837
229,Intel,Corei5,1235U,DDR5,16,512,0,Intel,4, Intel® Iris® Xe,microsoft,63300000,meghdad,PixelSense,13.5,2256,1504,58945692.71212121
230,Intel,Corei9,12900H,DDR4,16,0,0,Nvidia,4,GeForceRTX3070Ti,asus,115500000,digikala,IPS,15.6,1080,1920,84850014.66666667
231,Intel,Corei5,11400H,DDR4,16,0,0,Nvidia,4,GeForceRTX2050,asus,38180000,digikala,IPS,15.6,1080,1920,44949362.586003564
232,Intel,Corei5,1135G7,DDR4,4,128,0,Intel,4,Intel® Iris® Xe Graphics,microsoft,30310000,meghdad,PixelSense,12.5,1080,1920,33086566.976190478
233,Intel,Corei5,12500H,DDR4,16,0,0,Nvidia,4,GeforceRTX3050GDDR6,hp,44000000,digikala,IPS,15.6,1080,1920,43626241.827707015
234,Intel,Corei3,I3 1115G4,DDR4,12,0,1024,Intel,4,UHD,lenovo,17000000,meghdad,full hd,15.6,1080,1920,17403389.50774956
235,AMD,Ryzen7,5800H,DDR4,24,0,0,AMD,4,RadeonGraphics,asus,34800000,digikala,IPS,15.6,1080,1920,37926825.46974632
236,Intel,Corei3,1215U,DDR4,12,512,0,Intel,4,UHD,lenovo,17850000,meghdad,full hd,15.6,1080,1920,17253931.036186036
237,Intel,Corei5,1135G7,DDR4,8,256,0,Nvidia,2,NVIDIA Geforce MX450,lenovo,27075000,meghdad,full hd,15.6,1080,1920,26103335.91092241
238,Intel,Corei7,12700H,DDR4,40,0,0,Intel,4,IrisXe,asus,42840000,digikala,OLED,15.6,1080,1920,50864542.336886026
239,Intel,Corei9,13980HX,DDR5,32,0,0,Nvidia,4,GeForceRTX4090,asus,235000000,digikala,IPS,15.6,1080,1920,119463745.95238094
240,Intel,Corei5,11400H,DDR4,16,0,0,Nvidia,4,GeForceRTX3050Ti,hp,41200000,digikala,IPS,15.6,1080,1920,43626241.827707015
241,AMD,Ryzen5,7520U,DDR5,8,0,0,AMD,4,RADEON610M,hp,23900000,digikala,IPS,15.6,1080,1920,41520276.13441558
242,AMD,Ryzen9,6900HX,DDR5,32,1024,0,Nvidia,6,Geforce RTX 3060,asus,69514000,meghdad,IPS,17.3,1080,1920,99965586.66666666
243,Intel,Corei5,1235U,DDR4,8,1024,0,Intel,4,Iris Xe Graphics,hp,48750000,meghdad,OLED,14.0,1080,1920,37962317.54545455
244,Intel,Corei5,1135G7,DDR4,24,1024,0,Nvidia,2,GeForce® MX330,asus,29889000,meghdad,full hd,15.6,1080,1920,30559427.521978024
245,Intel,Corei7,12700H,DDR5,32,0,0,Nvidia,4,GeForceRTX3070GDDR6,lenovo,89950000,digikala,IPS,15.6,1080,1920,76084790.40860808
246,AMD,Ryzen7,3780U,DDR4,16,0,0,AMD,4,RXVega11GraphicsMicrosoftSurfaceEdition,microsoft,63000000,digikala,PixelSense,15.6,1080,1920,54143279.36796536
247,Intel,Corei7,1255U,DDR4,16,0,0,Intel,4,IrisXeGraphics,asus,35950000,digikala,lcd,15.6,1080,1920,38709391.58027756
248,Intel,Corei7,1260P,DDR4,16,0,0,Nvidia,4,GeForceRTX3050,acer,42099000,digikala,IPS,15.6,1080,1920,48913241.47582214
249,Intel,Corei3,1115G4,DDR4,12,0,0,Intel,4,UHD,acer,16499000,digikala,OLED,15.6,1080,1920,21771957.677024733
250,Intel,Corei7,1280P,DDR5,16,1024,0,Intel,4,Intel® Iris® Xe,msi,68800000,meghdad,IPS,13.4,1080,1920,72132633.06666666
251,Intel,Corei5,1235U,DDR4,8,0,0,Intel,4,UHDGraphics,lenovo,23480000,digikala,TN,15.6,1080,1920,26045154.980016712
252,Intel,Corei5,13500H,LPDDR5,8,0,0,Intel,4,IRISXE,asus,40300000,digikala,OLED,15.6,1080,1920,54627828.53968254
253,Intel,Corei7,1255U,DDR4,16,512,0,Nvidia,2,Nvida MX 550,dell,78900000,meghdad,IPS,14.0,1200,1920,50334515.620887525
254,Intel,Corei5,1155G7,DDR4,8,512,1024,Nvidia,2,NVIDIA Geforce MX350,lenovo,26830000,meghdad,OLED,15.6,1080,1920,28731133.53916916
255,Intel,Corei7,1165G7,DDR4,12,256,1024,Nvidia,2,NVIDIA Geforce MX450,lenovo,30200000,meghdad,OLED,15.6,1080,1920,39762148.62629037
256,Intel,Corei7,13620H,DDR5,16,512,0,Nvidia,8,Geforce RTX 4060 ,lenovo,58350000,meghdad,IPS,15.6,1080,1920,59771604.53241757
257,Apple,M1,M1 Pro,Unified,16,0,0,Apple,4,GPUwith16-core,apple,102900000,digikala,Liquid Retina,15.6,1080,1920,95726086.66666669
258,AMD,Ryzen5,3500U,DDR4,8,0,0,AMD,4,RadeonVEGA8,acer,24100000,digikala,OLED,15.6,1080,1920,31296598.530443255
259,Apple,M2Pro,M2 Pro,unified memory,16,512,0,Apple,4,دارای 16 هسته پردازش گرافیکی,apple,104900000,meghdad,IPS,14.2,3024,1964,110801530.0
260,AMD,Ryzen7,6800H,DDR5,16,0,0,Nvidia,4,GeForceRTX3070Ti,asus,80999000,digikala,WV,15.6,1080,1920,49636242.60714286
261,Apple,M1Pro,M1 Pro with 10 core CPU,unified memory,16,1024,0,Apple,4,16core GPU16core Neural Engine200GB/s memory bandwidth,apple,101888000,meghdad,Liquid Retina,14.2,3024,1964,111981866.66666669
262,Intel,Corei5,1035G7,DDR4,8,128,0,Intel,4,Intel Iris Plus Graphics,microsoft,39330000,meghdad,PixelSense,15.0,1440,2304,48753662.823232315
263,Intel,Corei7,1185G7,DDR4,16,256,0,Intel,4, Intel® Iris® Xe,microsoft,56888000,meghdad,PixelSense,13.5,2256,1504,62348819.21428572
264,AMD,Ryzen7,5800H,DDR4,16,0,0,Nvidia,4,GEFORCEGTX1650,asus,36900000,digikala,WV,15.6,1080,1920,35972854.73809524
265,Intel,Corei7,1165G7,DDR4,8,0,0,Nvidia,4,GeforceMX450,lenovo,32180000,digikala,TN,15.6,1080,1920,31888232.672466416
266,Intel,Corei7,13700H,DDR4,8,0,0,Nvidia,4,GeForceRTX3050,hp,57000000,digikala,IPS,15.6,1080,1920,43723929.06048601
267,Intel,Corei7,1165G7,DDR4,8,256,1024,Nvidia,2,NVIDIA Geforce MX450,lenovo,32550000,meghdad,full hd,15.6,1080,1920,32282305.870879125
268,Intel,Corei7,13620H,DDR5,32,0,0,Nvidia,4,GeForceRTX4050,lenovo,66000000,digikala,IPS,15.6,1080,1920,76084790.40860808
269,Intel,Corei3,1115G4,DDR4,4,0,0,Nvidia,4,GeForceMX330,asus,19250000,digikala,OLED,15.6,1080,1920,19478258.159090906
270,Apple,M2Pro,M2 Pro (12 Cores),Unified,16,0,0,Apple,4,M2Pro,apple,122890000,digikala,Liquid Retina,15.6,1080,1920,106203230.0
271,Apple,M2,M2 8 Cores,Unified,8,0,0,Apple,4,Integrated10Cores,apple,79150000,digikala,IPS,15.6,1080,1920,71749263.27705628
272,Intel,Corei7,1355U,DDR4,16,1024,0,Intel,4,Intel Iris Xe Graphics,asus,32874000,meghdad,OLED,15.6,1080,1920,48623349.17873307
273,Intel,Corei7,1255U,LPDDR5X,8,0,0,Intel,4,IrisXe,microsoft,65900000,digikala,PixelSense,15.6,1080,1920,52117524.52380952
274,Intel,Corei3,1215U,DDR4,8,0,0,Intel,4,UHDGraphics,lenovo,16800000,digikala,TN,15.6,1080,1920,17634518.299568854
275,Intel,Corei7,1165G7,DDR4,16,0,0,Nvidia,4,GeForceMX450,lenovo,34400000,digikala,TN,15.6,1080,1920,38536720.500332996
276,Intel,Corei5,10300H,DDR4,16,0,0,Nvidia,4,GeForceGTX1650,asus,37000000,digikala,IPS,15.6,1080,1920,44949362.586003564
277,AMD,Ryzen7,5800H,DDR4,32,0,0,AMD,4,RadeonRX6600MGDD6,hp,47990000,digikala,IPS,15.6,1080,1920,53499171.52421536
278,Intel,Corei7,1165G7,DDR4,16,512,0,Nvidia,2,NVIDIA Geforce MX330,asus,35189000,meghdad,full hd,15.6,1080,1920,34476940.11938062
279,Intel,Corei7,12650H,DDR4,16,0,0,Nvidia,4,GEFORCERTX3060,lenovo,57950000,digikala,IPS,15.6,1080,1920,47700991.24069908
